concept,siftco,colorco,map
aeroplane,0.41,0.59,0.6391
dog,0.41,0.59,0.3494
bicycle,0.41,0.59,0.3828
train,0.41,0.59,0.5054
motorbike,0.41,0.59,0.3167
bottle,0.41,0.59,0.1385
sofa,0.41,0.59,0.1693
cat,0.41,0.59,0.4551
horse,0.41,0.59,0.3173
boat,0.41,0.59,0.3935
bus,0.41,0.59,0.6147
bird,0.41,0.59,0.3161
tvmonitor,0.41,0.59,0.3904
pottedplant,0.41,0.59,0.1601
sheep,0.41,0.59,0.3416
chair,0.41,0.59,0.3643
cow,0.41,0.59,0.1738
diningtable,0.03,0.97,0.1532
car,0.03,0.97,0.2471
person,0.03,0.97,0.5455
aeroplane,0.03,0.97,0.3992
dog,0.03,0.97,0.2419
bicycle,0.03,0.97,0.1584
train,0.03,0.97,0.1737
motorbike,0.03,0.97,0.1355
bottle,0.03,0.97,0.1013
sofa,0.03,0.97,0.0932
cat,0.03,0.97,0.2231
horse,0.03,0.97,0.1164
boat,0.03,0.97,0.2630
bus,0.03,0.97,0.2199
bird,0.03,0.97,0.2044
tvmonitor,0.03,0.97,0.1455
pottedplant,0.03,0.97,0.1208
sheep,0.03,0.97,0.1608
chair,0.03,0.97,0.1956
cow,0.03,0.97,0.0986
diningtable,0.23,0.77,0.2265
car,0.23,0.77,0.3505
person,0.23,0.77,0.6284
aeroplane,0.23,0.77,0.5569
dog,0.23,0.77,0.3429
bicycle,0.23,0.77,0.3656
train,0.23,0.77,0.4267
motorbike,0.23,0.77,0.3135
bottle,0.23,0.77,0.1305
sofa,0.23,0.77,0.1288
cat,0.23,0.77,0.4227
horse,0.23,0.77,0.3018
boat,0.23,0.77,0.3519
bus,0.23,0.77,0.5239
bird,0.23,0.77,0.2641
tvmonitor,0.23,0.77,0.3632
pottedplant,0.23,0.77,0.1693
sheep,0.23,0.77,0.2844
chair,0.23,0.77,0.2898
cow,0.23,0.77,0.1406
diningtable,0.51,0.49,0.2530
car,0.51,0.49,0.4020
person,0.51,0.49,0.6858
aeroplane,0.51,0.49,0.6886
dog,0.51,0.49,0.3496
bicycle,0.51,0.49,0.3849
train,0.51,0.49,0.5131
motorbike,0.51,0.49,0.3155
bottle,0.51,0.49,0.1388
sofa,0.51,0.49,0.1831
cat,0.51,0.49,0.4573
horse,0.51,0.49,0.3189
boat,0.51,0.49,0.3954
bus,0.51,0.49,0.6178
bird,0.51,0.49,0.3266
tvmonitor,0.51,0.49,0.3907
pottedplant,0.51,0.49,0.1557
sheep,0.51,0.49,0.3525
chair,0.51,0.49,0.3757
cow,0.51,0.49,0.1822
diningtable,0.24,0.76,0.2295
car,0.24,0.76,0.3546
person,0.24,0.76,0.6318
aeroplane,0.24,0.76,0.5624
dog,0.24,0.76,0.3436
bicycle,0.24,0.76,0.3681
train,0.24,0.76,0.4354
motorbike,0.24,0.76,0.3148
bottle,0.24,0.76,0.1309
sofa,0.24,0.76,0.1307
cat,0.24,0.76,0.4266
horse,0.24,0.76,0.3036
boat,0.24,0.76,0.3546
bus,0.24,0.76,0.5322
bird,0.24,0.76,0.2664
tvmonitor,0.24,0.76,0.3664
pottedplant,0.24,0.76,0.1685
sheep,0.24,0.76,0.2891
chair,0.24,0.76,0.2944
cow,0.24,0.76,0.1423
diningtable,0.47,0.53,0.2543
car,0.47,0.53,0.4002
person,0.47,0.53,0.6838
aeroplane,0.47,0.53,0.6714
dog,0.47,0.53,0.3497
bicycle,0.47,0.53,0.3841
train,0.47,0.53,0.5115
motorbike,0.47,0.53,0.3161
bottle,0.47,0.53,0.1389
sofa,0.47,0.53,0.1783
cat,0.47,0.53,0.4570
horse,0.47,0.53,0.3185
boat,0.47,0.53,0.3953
bus,0.47,0.53,0.6162
bird,0.47,0.53,0.3241
tvmonitor,0.47,0.53,0.3907
pottedplant,0.47,0.53,0.1575
sheep,0.47,0.53,0.3483
chair,0.47,0.53,0.3734
cow,0.47,0.53,0.1801
diningtable,0.26,0.74,0.2355
car,0.26,0.74,0.3625
person,0.26,0.74,0.6385
aeroplane,0.26,0.74,0.5732
dog,0.26,0.74,0.3450
bicycle,0.26,0.74,0.3724
train,0.26,0.74,0.4523
motorbike,0.26,0.74,0.3169
bottle,0.26,0.74,0.1320
sofa,0.26,0.74,0.1352
cat,0.26,0.74,0.4325
horse,0.26,0.74,0.3080
boat,0.26,0.74,0.3628
bus,0.26,0.74,0.5511
bird,0.26,0.74,0.2734
tvmonitor,0.26,0.74,0.3731
pottedplant,0.26,0.74,0.1681
sheep,0.26,0.74,0.2994
chair,0.26,0.74,0.3052
cow,0.26,0.74,0.1459
