concept,siftco,colorco,map
pottedplant,0.65,0.35,0.1518
sheep,0.65,0.35,0.3528
chair,0.65,0.35,0.3795
cow,0.65,0.35,0.1846
diningtable,0.71,0.29,0.2415
car,0.71,0.29,0.3986
person,0.71,0.29,0.6800
aeroplane,0.71,0.29,0.7068
dog,0.71,0.29,0.3480
bicycle,0.71,0.29,0.3844
train,0.71,0.29,0.5139
motorbike,0.71,0.29,0.3100
bottle,0.71,0.29,0.1380
sofa,0.71,0.29,0.1937
cat,0.71,0.29,0.4527
horse,0.71,0.29,0.3148
boat,0.71,0.29,0.3761
bus,0.71,0.29,0.6093
bird,0.71,0.29,0.3163
tvmonitor,0.71,0.29,0.3859
pottedplant,0.71,0.29,0.1495
sheep,0.71,0.29,0.3512
chair,0.71,0.29,0.3773
cow,0.71,0.29,0.1836
diningtable,0.42,0.58,0.2560
car,0.42,0.58,0.3959
person,0.42,0.58,0.6783
aeroplane,0.42,0.58,0.6440
dog,0.42,0.58,0.3495
bicycle,0.42,0.58,0.3830
train,0.42,0.58,0.5066
motorbike,0.42,0.58,0.3174
bottle,0.42,0.58,0.1387
sofa,0.42,0.58,0.1708
cat,0.42,0.58,0.4555
horse,0.42,0.58,0.3179
boat,0.42,0.58,0.3939
bus,0.42,0.58,0.6159
bird,0.42,0.58,0.3179
tvmonitor,0.42,0.58,0.3903
pottedplant,0.42,0.58,0.1595
sheep,0.42,0.58,0.3454
chair,0.42,0.58,0.3662
cow,0.42,0.58,0.1747
diningtable,0.08,0.92,0.1728
car,0.08,0.92,0.2735
person,0.08,0.92,0.5694
aeroplane,0.08,0.92,0.4543
dog,0.08,0.92,0.3042
bicycle,0.08,0.92,0.2801
train,0.08,0.92,0.2377
motorbike,0.08,0.92,0.1929
bottle,0.08,0.92,0.1109
sofa,0.08,0.92,0.1010
cat,0.08,0.92,0.2967
horse,0.08,0.92,0.1914
boat,0.08,0.92,0.2843
bus,0.08,0.92,0.2913
bird,0.08,0.92,0.2194
tvmonitor,0.08,0.92,0.2132
pottedplant,0.08,0.92,0.1530
sheep,0.08,0.92,0.1933
chair,0.08,0.92,0.2171
cow,0.08,0.92,0.1101
diningtable,0.77,0.23,0.2380
car,0.77,0.23,0.3951
person,0.77,0.23,0.6757
aeroplane,0.77,0.23,0.7052
dog,0.77,0.23,0.3473
bicycle,0.77,0.23,0.3840
train,0.77,0.23,0.5118
motorbike,0.77,0.23,0.3074
bottle,0.77,0.23,0.1370
sofa,0.77,0.23,0.1916
cat,0.77,0.23,0.4503
horse,0.77,0.23,0.3130
boat,0.77,0.23,0.3685
bus,0.77,0.23,0.6044
bird,0.77,0.23,0.3128
tvmonitor,0.77,0.23,0.3845
pottedplant,0.77,0.23,0.1471
sheep,0.77,0.23,0.3517
chair,0.77,0.23,0.3746
cow,0.77,0.23,0.1785
diningtable,0.68,0.32,0.2440
car,0.68,0.32,0.4000
person,0.68,0.32,0.6817
aeroplane,0.68,0.32,0.7068
dog,0.68,0.32,0.3484
bicycle,0.68,0.32,0.3852
train,0.68,0.32,0.5141
motorbike,0.68,0.32,0.3110
bottle,0.68,0.32,0.1382
sofa,0.68,0.32,0.1935
cat,0.68,0.32,0.4539
horse,0.68,0.32,0.3154
boat,0.68,0.32,0.3798
bus,0.68,0.32,0.6116
bird,0.68,0.32,0.3199
tvmonitor,0.68,0.32,0.3871
pottedplant,0.68,0.32,0.1507
sheep,0.68,0.32,0.3515
chair,0.68,0.32,0.3786
cow,0.68,0.32,0.1830
diningtable,0.36,0.64,0.2520
car,0.36,0.64,0.3881
person,0.36,0.64,0.6669
aeroplane,0.36,0.64,0.6197
dog,0.36,0.64,0.3482
bicycle,0.36,0.64,0.3805
train,0.36,0.64,0.4981
motorbike,0.36,0.64,0.3180
bottle,0.36,0.64,0.1376
sofa,0.36,0.64,0.1573
cat,0.36,0.64,0.4514
horse,0.36,0.64,0.3172
boat,0.36,0.64,0.3885
bus,0.36,0.64,0.6059
bird,0.36,0.64,0.3049
tvmonitor,0.36,0.64,0.3865
pottedplant,0.36,0.64,0.1622
sheep,0.36,0.64,0.3319
chair,0.36,0.64,0.3503
cow,0.36,0.64,0.1655
diningtable,0.21,0.79,0.2251
car,0.21,0.79,0.3422
person,0.21,0.79,0.6215
aeroplane,0.21,0.79,0.5456
dog,0.21,0.79,0.3409
bicycle,0.21,0.79,0.3620
train,0.21,0.79,0.4034
motorbike,0.21,0.79,0.3107
bottle,0.21,0.79,0.1294
sofa,0.21,0.79,0.1246
cat,0.21,0.79,0.4156
horse,0.21,0.79,0.2959
boat,0.21,0.79,0.3440
bus,0.21,0.79,0.5004
bird,0.21,0.79,0.2585
tvmonitor,0.21,0.79,0.3552
pottedplant,0.21,0.79,0.1711
sheep,0.21,0.79,0.2707
chair,0.21,0.79,0.2795
cow,0.21,0.79,0.1373
diningtable,0.38,0.62,0.2540
car,0.38,0.62,0.3915
person,0.38,0.62,0.6711
aeroplane,0.38,0.62,0.6271
dog,0.38,0.62,0.3483
bicycle,0.38,0.62,0.3816
train,0.38,0.62,0.5011
motorbike,0.38,0.62,0.3180
bottle,0.38,0.62,0.1378
sofa,0.38,0.62,0.1619
cat,0.38,0.62,0.4532
