concept;g;w;map
tvmonitor;3;2;0.0706
pottedplant;3;2;0.0670
sheep;3;2;0.1103
chair;3;2;0.1371
cow;3;2;0.0439
diningtable;4;13;0.1342
car;4;13;0.2194
person;4;13;0.4548
aeroplane;4;13;0.2883
dog;4;13;0.1595
bicycle;4;13;0.0766
train;4;13;0.1198
motorbike;4;13;0.1052
bottle;4;13;0.0842
sofa;4;13;0.0856
cat;4;13;0.1772
horse;4;13;0.0800
boat;4;13;0.2281
all;4;13;0.2883
bus;4;13;0.1687
bird;4;13;0.1516
tvmonitor;4;13;0.1130
pottedplant;4;13;0.0888
sheep;4;13;0.1208
chair;4;13;0.1792
cow;4;13;0.0819
diningtable;2;16;0.1402
car;2;16;0.2108
person;2;16;0.4400
aeroplane;2;16;0.2863
dog;2;16;0.1544
bicycle;2;16;0.0759
train;2;16;0.1196
motorbike;2;16;0.0935
bottle;2;16;0.0840
sofa;2;16;0.0812
cat;2;16;0.1715
horse;2;16;0.0804
boat;2;16;0.2430
all;2;16;0.2863
bus;2;16;0.1683
bird;2;16;0.1549
tvmonitor;2;16;0.1045
pottedplant;2;16;0.0848
sheep;2;16;0.1376
chair;2;16;0.1767
cow;2;16;0.0860
diningtable;2;11;0.1343
car;2;11;0.2139
person;2;11;0.4481
aeroplane;2;11;0.3099
dog;2;11;0.1693
bicycle;2;11;0.0699
train;2;11;0.1342
motorbike;2;11;0.0899
bottle;2;11;0.0861
sofa;2;11;0.0825
cat;2;11;0.1838
horse;2;11;0.0739
boat;2;11;0.2490
all;2;11;0.3099
bus;2;11;0.1772
bird;2;11;0.1764
tvmonitor;2;11;0.1000
pottedplant;2;11;0.0831
sheep;2;11;0.1266
chair;2;11;0.1766
cow;2;11;0.0694
diningtable;0;3;0.0387
car;0;3;0.1040
person;0;3;0.4373
aeroplane;0;3;0.2376
dog;0;3;0.1239
bicycle;0;3;0.0510
train;0;3;0.0474
motorbike;0;3;0.0393
bottle;0;3;0.0655
sofa;0;3;0.0437
cat;0;3;0.1114
horse;0;3;0.0382
boat;0;3;0.1098
all;0;3;0.2376
bus;0;3;0.0364
bird;0;3;0.1559
tvmonitor;0;3;0.0471
pottedplant;0;3;0.0396
sheep;0;3;0.0472
chair;0;3;0.0984
cow;0;3;0.0244
diningtable;8;18;0.1097
car;8;18;0.2127
person;8;18;0.4614
aeroplane;8;18;0.2338
dog;8;18;0.1537
bicycle;8;18;0.0810
train;8;18;0.1237
motorbike;8;18;0.1071
bottle;8;18;0.0748
sofa;8;18;0.0763
cat;8;18;0.1590
horse;8;18;0.0721
boat;8;18;0.1691
all;8;18;0.2338
bus;8;18;0.1791
bird;8;18;0.1222
tvmonitor;8;18;0.1137
pottedplant;8;18;0.1021
sheep;8;18;0.0821
chair;8;18;0.1534
cow;8;18;0.0715
diningtable;8;4;0.1020
car;8;4;0.2182
person;8;4;0.4928
aeroplane;8;4;0.3154
dog;8;4;0.1538
bicycle;8;4;0.0682
train;8;4;0.1095
motorbike;8;4;0.0886
bottle;8;4;0.0860
sofa;8;4;0.0738
cat;8;4;0.1495
horse;8;4;0.0622
boat;8;4;0.2179
all;8;4;0.3154
bus;8;4;0.1404
bird;8;4;0.1577
tvmonitor;8;4;0.0812
pottedplant;8;4;0.0713
sheep;8;4;0.1083
chair;8;4;0.1756
cow;8;4;0.0538
diningtable;1;23;0.1412
car;1;23;0.2036
person;1;23;0.4202
aeroplane;1;23;0.2861
dog;1;23;0.1429
bicycle;1;23;0.0730
train;1;23;0.1145
motorbike;1;23;0.0893
bottle;1;23;0.0811
sofa;1;23;0.0786
cat;1;23;0.1584
horse;1;23;0.0827
boat;1;23;0.2477
all;1;23;0.2861
bus;1;23;0.1724
bird;1;23;0.1421
tvmonitor;1;23;0.0955
pottedplant;1;23;0.0924
sheep;1;23;0.1439
chair;1;23;0.1691
cow;1;23;0.0815
diningtable;3;14;0.1362
car;3;14;0.2159
person;3;14;0.4504
aeroplane;3;14;0.2873
dog;3;14;0.1578
bicycle;3;14;0.0755
train;3;14;0.1181
motorbike;3;14;0.1021
bottle;3;14;0.0852
sofa;3;14;0.0833
cat;3;14;0.1773
horse;3;14;0.0814
boat;3;14;0.2374
all;3;14;0.2873
bus;3;14;0.1678
bird;3;14;0.1514
tvmonitor;3;14;0.1110
pottedplant;3;14;0.0852
sheep;3;14;0.1323
chair;3;14;0.1814
cow;3;14;0.0844
diningtable;8;13;0.1172
car;8;13;0.2195
person;8;13;0.4628
aeroplane;8;13;0.2540
dog;8;13;0.1590
bicycle;8;13;0.0811
train;8;13;0.1234
motorbike;8;13;0.1098
bottle;8;13;0.0795
sofa;8;13;0.0865
cat;8;13;0.1635
horse;8;13;0.0757
boat;8;13;0.1950
all;8;13;0.2540
bus;8;13;0.1750
bird;8;13;0.1480
tvmonitor;8;13;0.1137
pottedplant;8;13;0.0976
sheep;8;13;0.0875
chair;8;13;0.1611
cow;8;13;0.0763
diningtable;6;21;0.1122
car;6;21;0.2019
person;6;21;0.4547
aeroplane;6;21;0.2392
dog;6;21;0.1512
bicycle;6;21;0.0804
train;6;21;0.1212
motorbike;6;21;0.1042
bottle;6;21;0.0747
sofa;6;21;0.0765
cat;6;21;0.1618
horse;6;21;0.0737
boat;6;21;0.1698
all;6;21;0.2392
bus;6;21;0.1737
bird;6;21;0.1201
tvmonitor;6;21;0.1121
pottedplant;6;21;0.1051
sheep;6;21;0.0869
chair;6;21;0.1549
cow;6;21;0.0763
diningtable;4;7;0.1260
car;4;7;0.2188
person;4;7;0.4711
aeroplane;4;7;0.3215
dog;4;7;0.1623
bicycle;4;7;0.0699
train;4;7;0.1365
motorbike;4;7;0.0930
bottle;4;7;0.0872
sofa;4;7;0.0801
cat;4;7;0.1719
horse;4;7;0.0691
boat;4;7;0.2372
all;4;7;0.3215
bus;4;7;0.1687
bird;4;7;0.1725
tvmonitor;4;7;0.0935
pottedplant;4;7;0.0832
sheep;4;7;0.1208
chair;4;7;0.1780
cow;4;7;0.0644
diningtable;2;7;0.1229
car;2;7;0.2125
person;2;7;0.4700
aeroplane;2;7;0.3398
dog;2;7;0.1696
bicycle;2;7;0.0689
train;2;7;0.1320
motorbike;2;7;0.0889
bottle;2;7;0.0879
sofa;2;7;0.0750
cat;2;7;0.1695
horse;2;7;0.0674
boat;2;7;0.2352
all;2;7;0.3398
bus;2;7;0.1586
bird;2;7;0.1792
tvmonitor;2;7;0.0934
pottedplant;2;7;0.0810
sheep;2;7;0.1283
chair;2;7;0.1808
cow;2;7;0.0631
diningtable;9;18;0.1083
car;9;18;0.2133
person;9;18;0.4626
aeroplane;9;18;0.2303
dog;9;18;0.1526
bicycle;9;18;0.0800
train;9;18;0.1247
motorbike;9;18;0.1049
bottle;9;18;0.0738
sofa;9;18;0.0759
cat;9;18;0.1581
horse;9;18;0.0698
boat;9;18;0.1606
all;9;18;0.2303
bus;9;18;0.1775
bird;9;18;0.1202
tvmonitor;9;18;0.1132
pottedplant;9;18;0.1020
sheep;9;18;0.0792
chair;9;18;0.1502
cow;9;18;0.0689
diningtable;7;3;0.0904
car;7;3;0.1905
person;7;3;0.5003
aeroplane;7;3;0.3248
dog;7;3;0.1519
bicycle;7;3;0.0676
train;7;3;0.1005
motorbike;7;3;0.0844
bottle;7;3;0.0784
sofa;7;3;0.0706
cat;7;3;0.1456
horse;7;3;0.0556
boat;7;3;0.2105
all;7;3;0.3248
bus;7;3;0.1263
bird;7;3;0.1519
tvmonitor;7;3;0.0765
pottedplant;7;3;0.0668
sheep;7;3;0.1124
chair;7;3;0.1615
cow;7;3;0.0496
diningtable;9;17;0.1086
car;9;17;0.2140
person;9;17;0.4625
aeroplane;9;17;0.2331
dog;9;17;0.1538
bicycle;9;17;0.0803
train;9;17;0.1245
motorbike;9;17;0.1069
bottle;9;17;0.0747
sofa;9;17;0.0769
cat;9;17;0.1589
horse;9;17;0.0709
boat;9;17;0.1649
all;9;17;0.2331
bus;9;17;0.1790
bird;9;17;0.1226
tvmonitor;9;17;0.1141
pottedplant;9;17;0.1017
sheep;9;17;0.0805
chair;9;17;0.1522
cow;9;17;0.0700
diningtable;6;10;0.1338
car;6;10;0.2214
person;6;10;0.4591
aeroplane;6;10;0.2873
dog;6;10;0.1585
bicycle;6;10;0.0745
train;6;10;0.1263
motorbike;6;10;0.1026
bottle;6;10;0.0813
sofa;6;10;0.0861
cat;6;10;0.1760
horse;6;10;0.0756
boat;6;10;0.2274
all;6;10;0.2873
bus;6;10;0.1574
bird;6;10;0.1527
tvmonitor;6;10;0.1093
pottedplant;6;10;0.0862
sheep;6;10;0.1146
chair;6;10;0.1700
cow;6;10;0.0752
diningtable;1;14;0.1287
car;1;14;0.2111
person;1;14;0.4416
aeroplane;1;14;0.3353
dog;1;14;0.1574
bicycle;1;14;0.0681
train;1;14;0.1220
motorbike;1;14;0.0815
bottle;1;14;0.0861
sofa;1;14;0.0834
cat;1;14;0.1771
horse;1;14;0.0728
boat;1;14;0.2516
all;1;14;0.3353
bus;1;14;0.1669
bird;1;14;0.1779
tvmonitor;1;14;0.0954
pottedplant;1;14;0.0691
sheep;1;14;0.1279
chair;1;14;0.1703
cow;1;14;0.0702
diningtable;9;6;0.1217
car;9;6;0.2290
person;9;6;0.4753
aeroplane;9;6;0.2970
dog;9;6;0.1557
bicycle;9;6;0.0696
train;9;6;0.1309
motorbike;9;6;0.0935
bottle;9;6;0.0840
sofa;9;6;0.0786
cat;9;6;0.1593
horse;9;6;0.0690
boat;9;6;0.2204
all;9;6;0.2970
bus;9;6;0.1596
bird;9;6;0.1649
tvmonitor;9;6;0.0919
pottedplant;9;6;0.0791
sheep;9;6;0.1013
chair;9;6;0.1686
cow;9;6;0.0632
diningtable;0;19;0.0962
car;0;19;0.1663
person;0;19;0.3518
aeroplane;0;19;0.3071
dog;0;19;0.1461
bicycle;0;19;0.0669
train;0;19;0.0833
motorbike;0;19;0.0517
bottle;0;19;0.0848
sofa;0;19;0.0768
cat;0;19;0.1575
horse;0;19;0.0648
boat;0;19;0.1624
all;0;19;0.3071
bus;0;19;0.0683
bird;0;19;0.1640
tvmonitor;0;19;0.0741
pottedplant;0;19;0.0572
sheep;0;19;0.1320
chair;0;19;0.1465
cow;0;19;0.0668
diningtable;0;22;0.0823
car;0;22;0.1707
person;0;22;0.3686
aeroplane;0;22;0.3069
dog;0;22;0.1392
bicycle;0;22;0.0642
train;0;22;0.0767
motorbike;0;22;0.0533
bottle;0;22;0.0812
sofa;0;22;0.0746
cat;0;22;0.1536
horse;0;22;0.0663
boat;0;22;0.1637
all;0;22;0.3069
bus;0;22;0.0656
bird;0;22;0.1480
tvmonitor;0;22;0.0729
pottedplant;0;22;0.0541
sheep;0;22;0.1305
chair;0;22;0.1479
cow;0;22;0.0656
diningtable;8;8;0.1316
car;8;8;0.2315
person;8;8;0.4676
aeroplane;8;8;0.2868
dog;8;8;0.1580
bicycle;8;8;0.0730
train;8;8;0.1318
motorbike;8;8;0.0970
bottle;8;8;0.0837
sofa;8;8;0.0833
cat;8;8;0.1697
horse;8;8;0.0701
boat;8;8;0.2221
all;8;8;0.2868
bus;8;8;0.1584
bird;8;8;0.1544
tvmonitor;8;8;0.1033
pottedplant;8;8;0.0850
sheep;8;8;0.1075
chair;8;8;0.1673
cow;8;8;0.0682
diningtable;4;19;0.1225
car;4;19;0.2045
person;4;19;0.4511
aeroplane;4;19;0.2541
dog;4;19;0.1506
bicycle;4;19;0.0788
train;4;19;0.1174
motorbike;4;19;0.1042
bottle;4;19;0.0805
sofa;4;19;0.0819
cat;4;19;0.1657
horse;4;19;0.0839
boat;4;19;0.2016
all;4;19;0.2541
bus;4;19;0.1790
bird;4;19;0.1377
tvmonitor;4;19;0.1126
pottedplant;4;19;0.1029
sheep;4;19;0.1081
chair;4;19;0.1653
cow;4;19;0.0840
diningtable;1;20;0.1390
car;1;20;0.2070
person;1;20;0.4232
aeroplane;1;20;0.3035
dog;1;20;0.1466
bicycle;1;20;0.0732
train;1;20;0.1188
motorbike;1;20;0.0863
bottle;1;20;0.0821
sofa;1;20;0.0792
cat;1;20;0.1634
horse;1;20;0.0804
boat;1;20;0.2494
all;1;20;0.3035
bus;1;20;0.1625
bird;1;20;0.1589
tvmonitor;1;20;0.0950
pottedplant;1;20;0.0878
sheep;1;20;0.1343
chair;1;20;0.1686
cow;1;20;0.0797
diningtable;7;23;0.1067
car;7;23;0.1979
person;7;23;0.4593
aeroplane;7;23;0.2256
dog;7;23;0.1494
bicycle;7;23;0.0822
train;7;23;0.1201
motorbike;7;23;0.1049
bottle;7;23;0.0720
sofa;7;23;0.0745
cat;7;23;0.1575
horse;7;23;0.0693
boat;7;23;0.1570
all;7;23;0.2256
bus;7;23;0.1716
bird;7;23;0.1148
tvmonitor;7;23;0.1106
pottedplant;7;23;0.0992
sheep;7;23;0.0798
chair;7;23;0.1526
cow;7;23;0.0686
diningtable;0;4;0.0380
car;0;4;0.1438
person;0;4;0.4042
aeroplane;0;4;0.2472
dog;0;4;0.1335
bicycle;0;4;0.0491
train;0;4;0.0437
motorbike;0;4;0.0413
bottle;0;4;0.0556
sofa;0;4;0.0505
cat;0;4;0.1299
horse;0;4;0.0360
boat;0;4;0.1540
all;0;4;0.2472
bus;0;4;0.0439
bird;0;4;0.1655
tvmonitor;0;4;0.0526
pottedplant;0;4;0.0464
sheep;0;4;0.0582
chair;0;4;0.1372
cow;0;4;0.0270
diningtable;5;4;0.1010
car;5;4;0.2130
person;5;4;0.4897
aeroplane;5;4;0.3311
dog;5;4;0.1580
bicycle;5;4;0.0683
train;5;4;0.1109
motorbike;5;4;0.0887
bottle;5;4;0.0796
sofa;5;4;0.0722
cat;5;4;0.1525
horse;5;4;0.0605
boat;5;4;0.2228
all;5;4;0.3311
bus;5;4;0.1438
bird;5;4;0.1599
tvmonitor;5;4;0.0813
pottedplant;5;4;0.0723
sheep;5;4;0.1251
chair;5;4;0.1755
cow;5;4;0.0533
diningtable;8;17;0.1100
car;8;17;0.2120
person;8;17;0.4613
aeroplane;8;17;0.2360
dog;8;17;0.1544
bicycle;8;17;0.0808
train;8;17;0.1245
motorbike;8;17;0.1083
bottle;8;17;0.0758
sofa;8;17;0.0771
cat;8;17;0.1603
horse;8;17;0.0736
boat;8;17;0.1720
all;8;17;0.2360
bus;8;17;0.1824
bird;8;17;0.1252
tvmonitor;8;17;0.1139
pottedplant;8;17;0.1019
sheep;8;17;0.0834
chair;8;17;0.1556
cow;8;17;0.0724
diningtable;5;13;0.1292
car;5;13;0.2200
person;5;13;0.4562
aeroplane;5;13;0.2769
dog;5;13;0.1602
bicycle;5;13;0.0783
train;5;13;0.1213
motorbike;5;13;0.1086
bottle;5;13;0.0833
sofa;5;13;0.0873
cat;5;13;0.1732
horse;5;13;0.0791
boat;5;13;0.2201
all;5;13;0.2769
bus;5;13;0.1653
bird;5;13;0.1507
tvmonitor;5;13;0.1146
pottedplant;5;13;0.0943
sheep;5;13;0.1077
chair;5;13;0.1704
cow;5;13;0.0787
diningtable;0;14;0.1123
car;0;14;0.1505
person;0;14;0.3498
aeroplane;0;14;0.3088
dog;0;14;0.1750
bicycle;0;14;0.0636
train;0;14;0.0812
motorbike;0;14;0.0692
bottle;0;14;0.0863
sofa;0;14;0.0760
cat;0;14;0.1661
horse;0;14;0.0624
boat;0;14;0.1465
all;0;14;0.3088
bus;0;14;0.1026
bird;0;14;0.1714
tvmonitor;0;14;0.0763
pottedplant;0;14;0.0594
sheep;0;14;0.1359
chair;0;14;0.1444
cow;0;14;0.0659
diningtable;5;11;0.1339
car;5;11;0.2214
person;5;11;0.4576
aeroplane;5;11;0.2891
dog;5;11;0.1600
bicycle;5;11;0.0750
train;5;11;0.1238
motorbike;5;11;0.1031
bottle;5;11;0.0834
sofa;5;11;0.0877
cat;5;11;0.1773
horse;5;11;0.0778
boat;5;11;0.2315
all;5;11;0.2891
bus;5;11;0.1588
bird;5;11;0.1522
tvmonitor;5;11;0.1107
